标题,歌曲链接,时长,歌手,歌手链接
WRONG WAY,https://music.163.comhttps://music.163.com/song?id=1309666919,03:32,PRC 巴音汗/PRC HT/PRC,https://music.163.comhttps://music.163.com/artist?id=12464053
还是喜欢你,https://music.163.comhttps://music.163.com/song?id=1293849725,03:58,Clock.B坤木,https://music.163.comhttps://music.163.com/artist?id=13790589
午夜心碎俱乐部4.s,https://music.163.comhttps://music.163.com/song?id=1309388929,01:42,DLyn,https://music.163.comhttps://music.163.com/artist?id=12114249
像我这样的人,https://music.163.comhttps://music.163.com/song?id=569213220,03:27,毛不易,https://music.163.comhttps://music.163.com/artist?id=12138269
弹吉他的女孩,https://music.163.comhttps://music.163.com/song?id=573445824,03:27,韩金希,https://music.163.comhttps://music.163.com/artist?id=14080133
关于薛之谦,https://music.163.comhttps://music.163.com/song?id=1306853204,03:03,Gifty,https://music.163.comhttps://music.163.com/artist?id=14017398
心安理得,https://music.163.comhttps://music.163.com/song?id=474739467,04:29,王天戈,https://music.163.comhttps://music.163.com/artist?id=12390184
Believer,https://music.163.comhttps://music.163.com/song?id=523030374,03:23,Imagine Dragons,https://music.163.comhttps://music.163.com/artist?id=94779
GOOD NIGHT,https://music.163.comhttps://music.163.com/song?id=542690276,02:57,Lil Ghost小鬼,https://music.163.comhttps://music.163.com/artist?id=12493781
我想你了,https://music.163.comhttps://music.163.com/song?id=501928179,04:52,陶峻汐,https://music.163.comhttps://music.163.com/artist?id=787107
Seventh Heaven,https://music.163.comhttps://music.163.com/song?id=512648446,05:00,Beck,https://music.163.comhttps://music.163.com/artist?id=29320
Summertime Magic,https://music.163.comhttps://music.163.com/song?id=865828954,03:33,Childish Gambino,https://music.163.comhttps://music.163.com/artist?id=30929
零碎,https://music.163.comhttps://music.163.com/song?id=478029410,04:25,刘瑞琦,https://music.163.comhttps://music.163.com/artist?id=840134
Wanan,https://music.163.comhttps://music.163.com/song?id=533465371,02:33,齐悦/Unusual.怪人/张佳伦/A.T.L (Above The Law）,https://music.163.comhttps://music.163.com/artist?id=12071053
宁愿当初不相见 (Acoustic Version),https://music.163.comhttps://music.163.com/song?id=1309662319,04:02,Dear Jane,https://music.163.comhttps://music.163.com/artist?id=11378
陷阱,https://music.163.comhttps://music.163.com/song?id=1294899063,04:40,王北车,https://music.163.comhttps://music.163.com/artist?id=28083340
If It Feels Good (Then It Must Be),https://music.163.comhttps://music.163.com/song?id=556050697,03:14,Leon Bridges,https://music.163.comhttps://music.163.com/artist?id=1050715
Miracle,https://music.163.comhttps://music.163.com/song?id=551970123,03:08,CHVRCHES,https://music.163.comhttps://music.163.com/artist?id=694027
夏风,https://music.163.comhttps://music.163.com/song?id=863709049,03:14,Gifty,https://music.163.comhttps://music.163.com/artist?id=14017398
多想留在你身边,https://music.163.comhttps://music.163.com/song?id=517565282,03:32,刘增瞳,https://music.163.comhttps://music.163.com/artist?id=12176360
Walk Thru Fire,https://music.163.comhttps://music.163.com/song?id=1297498908,03:14,Vicetone/Meron Ryan,https://music.163.comhttps://music.163.com/artist?id=747030
一个人去巴黎,https://music.163.comhttps://music.163.com/song?id=864647841,04:12,董又霖,https://music.163.comhttps://music.163.com/artist?id=12054456
恍然,https://music.163.comhttps://music.163.com/song?id=1308778427,02:31,Double Face,https://music.163.comhttps://music.163.com/artist?id=12101166
Lines,https://music.163.comhttps://music.163.com/song?id=516765349,03:21,Bülow,https://music.163.comhttps://music.163.com/artist?id=12809019
The one,https://music.163.comhttps://music.163.com/song?id=1309455813,02:12,TZ,https://music.163.comhttps://music.163.com/artist?id=12039096
RETRO FUTURE,https://music.163.comhttps://music.163.com/song?id=1294556650,03:15,Triple H,https://music.163.comhttps://music.163.com/artist?id=12369104
还好有你,https://music.163.comhttps://music.163.com/song?id=526080012,04:48,阿细,https://music.163.comhttps://music.163.com/artist?id=1049681
Tie Me Down,https://music.163.comhttps://music.163.com/song?id=1298505546,03:38,Gryffin/Elley Duhé,https://music.163.comhttps://music.163.com/artist?id=1181504
这辈子就你了,https://music.163.comhttps://music.163.com/song?id=1308782386,03:44,宇文泡,https://music.163.comhttps://music.163.com/artist?id=29497537
失踪,https://music.163.comhttps://music.163.com/song?id=1309444156,02:50,CG,https://music.163.comhttps://music.163.com/artist?id=12118566
美分美秒 - (大咖KTV主题曲),https://music.163.comhttps://music.163.com/song?id=1308778407,03:14,乔万旭/十一/贾楠/杨博祎/邓欲基,https://music.163.comhttps://music.163.com/artist?id=12285368
祝你幸福,https://music.163.comhttps://music.163.com/song?id=511920347,04:37,李荣浩,https://music.163.comhttps://music.163.com/artist?id=4292
なつっこ音頭 - (TV动画《偶像大师 灰姑娘女孩剧场》第三季8月度片尾曲 / TVアニメ『アイドルマスター シンデレラガールズ劇場』8月度EDテーマ),https://music.163.comhttps://music.163.com/song?id=1308778579,03:16,黒沢ともよ/山本希望/佐藤亜美菜/小市眞琴/春瀬なつみ,https://music.163.comhttps://music.163.com/artist?id=829004
烟火焚,https://music.163.comhttps://music.163.com/song?id=1309439820,04:44,逆时针向/韵白,https://music.163.comhttps://music.163.com/artist?id=12128251
河边烧烤,https://music.163.comhttps://music.163.com/song?id=1308839598,03:00,GNS耀耀/XXY,https://music.163.comhttps://music.163.com/artist?id=1041024
热勇,https://music.163.comhttps://music.163.com/song?id=423015580,04:49,栗先达,https://music.163.comhttps://music.163.com/artist?id=12027624
侧脸,https://music.163.comhttps://music.163.com/song?id=534542079,03:37,于果,https://music.163.comhttps://music.163.com/artist?id=12262303
The Shiniest Star,https://music.163.comhttps://music.163.com/song?id=1309450662,03:30,Cyndi,https://music.163.comhttps://music.163.com/artist?id=29938315
生活倒影,https://music.163.comhttps://music.163.com/song?id=1306112195,04:35,苏运莹,https://music.163.comhttps://music.163.com/artist?id=1193259
陌生人的纪录片,https://music.163.comhttps://music.163.com/song?id=1309026343,05:27,小海,https://music.163.comhttps://music.163.com/artist?id=1195036
你是我的安,https://music.163.comhttps://music.163.com/song?id=1309430056,03:36,Able辉,https://music.163.comhttps://music.163.com/artist?id=13005208
All My Life,https://music.163.comhttps://music.163.com/song?id=1309047333,02:54,Major Lazer/Burna Boy,https://music.163.comhttps://music.163.com/artist?id=96309
丽园便利店 - (Liyuan Convenient Store),https://music.163.comhttps://music.163.com/song?id=1294899224,04:23,和平和浪,https://music.163.comhttps://music.163.com/artist?id=1203022
羡慕嫉妒恨,https://music.163.comhttps://music.163.com/song?id=1308954709,03:23,Young-Flow/Uxxak/CJwest$ide,https://music.163.comhttps://music.163.com/artist?id=29580797
献给成都市高新区某小区大门边边的铺子逅头那个理发师(Prod. by 葱仔Onion),https://music.163.comhttps://music.163.com/song?id=1309237069,03:15,双林路路草,https://music.163.comhttps://music.163.com/artist?id=13795427
The Reason,https://music.163.comhttps://music.163.com/song?id=563563416,03:04,Chelsea Cutler,https://music.163.comhttps://music.163.com/artist?id=1150112
Lift,https://music.163.comhttps://music.163.com/song?id=1304791204,03:21,obylx,https://music.163.comhttps://music.163.com/artist?id=29280828
有情世间,https://music.163.comhttps://music.163.com/song?id=1308782247,05:23,张信哲,https://music.163.comhttps://music.163.com/artist?id=6454
说好一起走,https://music.163.comhttps://music.163.com/song?id=482395210,03:45,许佳慧,https://music.163.comhttps://music.163.com/artist?id=10135
Electricity,https://music.163.comhttps://music.163.com/song?id=1307789267,03:58,Silk City/Dua Lipa/Diplo/Mark Ronson,https://music.163.comhttps://music.163.com/artist?id=14701065
贵阳cypher,https://music.163.comhttps://music.163.com/song?id=1309455705,03:18,Double Zhuo/黑老哇HAHAHA/BRB/Subor718,https://music.163.comhttps://music.163.com/artist?id=12256361
危险的地方,https://music.163.comhttps://music.163.com/song?id=862098813,03:30,Backspace,https://music.163.comhttps://music.163.com/artist?id=14115792
Take You Down,https://music.163.comhttps://music.163.com/song?id=1297747560,03:41,ILLENIUM,https://music.163.comhttps://music.163.com/artist?id=1050518
Qim qaqak,https://music.163.comhttps://music.163.com/song?id=1300955208,04:13,Asat-Kurban,https://music.163.comhttps://music.163.com/artist?id=28632355
龙将之光,https://music.163.comhttps://music.163.com/song?id=1309596147,04:03,O2O偶像男团/朱强/彭轩/章鱼烧正太,https://music.163.comhttps://music.163.com/artist?id=12481153
父亲写的散文诗,https://music.163.comhttps://music.163.com/song?id=1302090321,03:47,刘乐瑶,https://music.163.comhttps://music.163.com/artist?id=28900376
你能看到我,https://music.163.comhttps://music.163.com/song?id=1297743638,04:42,黄旭/艾热,https://music.163.comhttps://music.163.com/artist?id=12065096
心动,https://music.163.comhttps://music.163.com/song?id=1308782154,05:01,黄韵玲,https://music.163.comhttps://music.163.com/artist?id=7893
Dog Person,https://music.163.comhttps://music.163.com/song?id=1309395160,04:50,Schoolgirl byebye,https://music.163.comhttps://music.163.com/artist?id=1194019
Utopia(Original Mix),https://music.163.comhttps://music.163.com/song?id=1308853912,03:12,IA5N/A音子,https://music.163.comhttps://music.163.com/artist?id=12479492
right now(Remix),https://music.163.comhttps://music.163.com/song?id=552485087,02:50,Milk dog,https://music.163.comhttps://music.163.com/artist?id=13296197
我爱过你 - (电视剧《左耳》宣传曲),https://music.163.comhttps://music.163.com/song?id=421929077,05:02,周兴哲,https://music.163.comhttps://music.163.com/artist?id=980025
One Kiss,https://music.163.comhttps://music.163.com/song?id=549800783,03:34,Calvin Harris/Dua Lipa,https://music.163.comhttps://music.163.com/artist?id=29968
Star (海外版),https://music.163.comhttps://music.163.com/song?id=1308819582,03:58,窦佳嫄,https://music.163.comhttps://music.163.com/artist?id=12900544
及冠臆语 - (Come Of Age),https://music.163.comhttps://music.163.com/song?id=1294910209,03:33,厨子和戏子,https://music.163.comhttps://music.163.com/artist?id=12063157
Next To Me,https://music.163.comhttps://music.163.com/song?id=553534126,02:47,Dropgun/Aspyer,https://music.163.comhttps://music.163.com/artist?id=972015
意料之中,https://music.163.comhttps://music.163.com/song?id=862098671,03:57,毛不易/廖俊涛/钟易轩,https://music.163.comhttps://music.163.com/artist?id=12138269
青梅竹马,https://music.163.comhttps://music.163.com/song?id=570326067,04:02,陈秋含,https://music.163.comhttps://music.163.com/artist?id=13161063
Horsepower,https://music.163.comhttps://music.163.com/song?id=1307953574,04:51,Muzzy,https://music.163.comhttps://music.163.com/artist?id=158046
